quốc gia,mã,nhóm sản phẩm,từ khóa,lượt tìm kiếm/tháng,chi phí đầu trang (USD),chi phí thấp nhất (USD),cạnh tranh
Canada,CA,điện tử,garmin smartwatch,3600,0.44,0.07,Cao
Canada,CA,điện tử,jlab earbuds,3600,0.48,0.11,Cao
Canada,CA,điện tử,smart watch ladies,3600,1.07,0.09,Cao
Canada,CA,điện tử,kids smart watch,2900,0.43,0.09,Cao
Canada,CA,điện tử,best noise cancelling earbuds,2900,1.46,0.21,Cao
Canada,CA,điện tử,ear buds on sale,2900,0.75,0.07,Cao
Canada,CA,điện tử,smart watch women,2400,1.10,0.08,Cao
Canada,CA,điện tử,android smartwatch,2400,0.74,0.11,Cao
Canada,CA,điện tử,jabra earbuds,2400,0.73,0.10,Cao
Canada,CA,điện tử,sleep earbuds,2400,1.74,0.31,Cao
Canada,CA,điện tử,jlab go air pop,2400,0.45,0.13,Cao
Canada,CA,điện tử,smart watch for kids,1900,0.41,0.08,Cao
Canada,CA,điện tử,powerbeats pro,1900,0.60,0.14,Cao
Canada,CA,điện tử,garmin smart watch,1900,0.41,0.06,Cao
Canada,CA,điện tử,best smartwatch,1600,1.07,0.16,Cao
Canada,CA,điện tử,samsung airpods,1600,0.31,0.05,Cao
Canada,CA,điện tử,apple smart watch,1600,0.71,0.05,Cao
Canada,CA,điện tử,best airpods,1600,1.38,0.22,Cao
Canada,CA,điện tử,rugged smartwatch,1600,1.28,0.31,Thấp
Canada,CA,điện tử,fossil smartwatch,1300,0.84,0.27,Cao
Canada,CA,điện tử,wireless earphones,1300,1.26,0.09,Cao
Canada,CA,điện tử,best headphones for running,1300,1.63,0.03,Cao
Canada,CA,điện tử,google earbuds,1300,0.55,0.12,Cao
Canada,CA,điện tử,sennheiser earbuds,1300,0.69,0.13,Cao
Canada,CA,điện tử,powerbeats,1300,0.55,0.15,Cao
Canada,CA,điện tử,samsung smartwatch,1000,0.43,0.07,Cao
Canada,CA,điện tử,best bluetooth earbuds,1000,1.63,0.25,Cao
Canada,CA,điện tử,jbl live pro 2,1000,0.34,0.11,Cao
Canada,CA,điện tử,best smartwatch for android,1000,1.06,0.27,Cao
Canada,CA,điện tử,best smart watches,1000,1.17,0.12,Cao
Canada,CA,điện tử,jabra elite,1000,0.53,0.10,Cao
Canada,CA,điện tử,best earbuds for running,1000,1.22,0.03,Cao
Canada,CA,điện tử,gaming earbuds,1000,0.43,0.12,Cao
Đức,DE,gia dụng,airfryer,301000,1.05,0.29,Cao
Đức,DE,gia dụng,roborocks,165000,0.85,0.40,Cao
Đức,DE,gia dụng,air fryer,49500,1.07,0.29,Cao
Đức,DE,gia dụng,cosori airfryer,49500,0.68,0.17,Cao
Đức,DE,gia dụng,ecovac,49500,3.19,0.44,Cao
Đức,DE,gia dụng,airfryer ninja,27100,0.57,0.10,Cao
Đức,DE,gia dụng,ninja air fryer,22200,0.35,0.08,Cao
Đức,DE,gia dụng,airfryer philips,18100,0.57,0.29,Cao
Đức,DE,gia dụng,ninja foodi,18100,1.05,0.12,Cao
Đức,DE,gia dụng,ecovacs deebot,9900,1.98,0.34,Cao
Đức,DE,gia dụng,ninja grill,9900,0.53,0.08,Cao
Đức,DE,gia dụng,air fryer ninja,9900,0.34,0.08,Cao
Đức,DE,gia dụng,airfryer cosori,8100,1.05,0.22,Cao
Đức,DE,gia dụng,airfryer testsieger,8100,0.56,0.17,Cao
Đức,DE,gia dụng,roomba,6600,1.33,0.36,Cao
Đức,DE,gia dụng,cosori air fryer,6600,1.08,0.24,Cao
Đức,DE,gia dụng,ninja speedi,5400,0.73,0.09,Cao
Đức,DE,gia dụng,cosori dual blaze,4400,0.79,0.18,Cao
Đức,DE,gia dụng,ninja foodi max,4400,1.02,0.11,Cao
Đức,DE,gia dụng,deebot,3600,1.59,0.29,Cao
Đức,DE,gia dụng,airfryer tefal,3600,0.37,0.09,Cao
Đức,DE,gia dụng,lidl airfryer,3600,0.15,0.15,Cao
Đức,DE,gia dụng,philips air fryer,3600,0.63,0.35,Cao
Đức,DE,gia dụng,robot vacuum,2900,1.22,0.26,Cao
Đức,DE,gia dụng,tefal actifry,2900,0.62,0.07,Cao
Đức,DE,gia dụng,tefal easy fry and grill,2900,0.41,0.06,Cao
Đức,DE,gia dụng,ecovacs robot,2900,1.25,0.22,Cao
Đức,DE,gia dụng,robot vacuum cleaner,2900,1.22,0.26,Cao
Đức,DE,gia dụng,tefal air fryer,2900,0.43,0.09,Cao
Đức,DE,gia dụng,automatic vacuum cleaner,2900,1.22,0.26,Cao
Đức,DE,gia dụng,tefal easy fry,2400,0.37,0.08,Cao
Đức,DE,gia dụng,dyson robot,2400,1.40,0.29,Cao
Đức,DE,gia dụng,airfryer lidl,2400,0.14,0.14,Cao
Đức,DE,gia dụng,roborock s5,1900,0.68,0.36,Cao
Đức,DE,gia dụng,tefal actifry 2 in 1,1900,0.71,0.10,Cao
Đức,DE,gia dụng,xiaomi staubsauger roboter,1900,0.63,0.13,Cao
Đức,DE,gia dụng,ninja af400,1900,1.14,0.17,Cao
Đức,DE,gia dụng,airfryer xxl,1600,0.63,0.14,Cao
Đức,DE,gia dụng,roborock s6,1600,0.60,0.36,Cao
Đức,DE,gia dụng,ninja foodi dual zone,1600,1.37,0.14,Cao
Đức,DE,gia dụng,xxl airfryer,1600,0.63,0.14,Cao
Đức,DE,gia dụng,ninja af160eu,1600,0.72,0.15,Cao
Đức,DE,gia dụng,xiaomi air fryer,1600,0.26,0.09,Cao
Đức,DE,gia dụng,roborock s6 maxv,1300,0.88,0.40,Cao
Đức,DE,gia dụng,philips airfryer xl,1300,0.65,0.26,Cao
Đức,DE,gia dụng,roborock s7maxv,1300,0.68,0.37,Cao
Đức,DE,gia dụng,air fryer philips,1300,0.62,0.31,Cao
Đức,DE,gia dụng,robot roomba,1300,1.05,0.21,Cao
Đức,DE,gia dụng,xiaomi robot vacuum,1300,0.75,0.14,Cao
Đức,DE,gia dụng,airfryer philips xxl,1000,0.58,0.20,Cao
Đức,DE,gia dụng,princess airfryer,1000,0.93,0.05,Cao
Đức,DE,gia dụng,xiaomi robot,1000,0.94,0.11,Cao
Đức,DE,gia dụng,dreame l10,1000,1.81,0.31,Cao
Đức,DE,gia dụng,airfryer amazon,1000,0.32,0.05,Cao
Đức,DE,gia dụng,roborock q5,1000,0.64,0.32,Cao
Đức,DE,làm đẹp,koreanische skincare,49500,1.95,0.74,Cao
Đức,DE,làm đẹp,korean skincare,49500,1.95,0.74,Cao
Đức,DE,làm đẹp,korean skin care,49500,1.95,0.74,Cao
Đức,DE,làm đẹp,nivea creme,14800,1.22,0.31,Cao
Đức,DE,làm đẹp,dyson sonic,14800,0.98,0.20,Cao
Đức,DE,làm đẹp,dyson supersonic,14800,0.98,0.20,Cao
Đức,DE,làm đẹp,niacinamide serum,14800,1.95,0.56,Cao
Đức,DE,làm đẹp,dyson hairdryer,14800,0.98,0.20,Cao
Đức,DE,làm đẹp,cerave hydrating cleanser,12100,0.72,0.27,Cao
Đức,DE,làm đẹp,cerave moisturizing cream,9900,0.81,0.25,Cao
Đức,DE,làm đẹp,moisturizer,9900,2.14,0.69,Cao
Đức,DE,làm đẹp,paula's choice bha,6600,1.81,0.42,Cao
Đức,DE,làm đẹp,skincare produkte,5400,4.93,0.89,Cao
Đức,DE,làm đẹp,cerave cleanser,5400,0.77,0.30,Cao
Đức,DE,làm đẹp,garnier vitamin c serum,5400,0.93,0.16,Cao
Đức,DE,làm đẹp,body lotion,5400,1.51,0.34,Cao
Đức,DE,làm đẹp,cerave foaming cleanser,5400,0.84,0.32,Cao
Đức,DE,làm đẹp,xskincare,4400,2.42,0.34,Thấp
Đức,DE,làm đẹp,dyson hair dryer,4400,0.74,0.09,Cao
Đức,DE,làm đẹp,retinol cream,4400,1.72,0.52,Cao
Đức,DE,làm đẹp,cleanser,4400,2.35,0.79,Cao
Đức,DE,làm đẹp,hair dryer,3600,2.03,0.11,Cao
Đức,DE,làm đẹp,wrinkle cream,3600,1.32,0.57,Thấp
Đức,DE,làm đẹp,the ordinary glycolic acid 7 toning solution,3600,0.46,0.20,Cao
Đức,DE,làm đẹp,l oreal age perfect,2900,1.58,0.32,Cao
Đức,DE,làm đẹp,blow dryer,2400,1.56,0.13,Cao
Đức,DE,làm đẹp,bubble skincare,2400,2.35,0.30,Cao
Đức,DE,làm đẹp,the ordinary serum,2400,0.48,0.18,Cao
Đức,DE,làm đẹp,microneedling serum,1900,1.84,0.76,Cao
Đức,DE,làm đẹp,nivea men creme,1900,1.19,0.09,Cao
Đức,DE,làm đẹp,dysonhair,1900,1.50,0.27,Cao
Đức,DE,làm đẹp,dyson hair,1900,1.50,0.27,Cao
Đức,DE,làm đẹp,ghd hair dryer,1900,2.05,0.43,Cao
Đức,DE,làm đẹp,la roche posay cleanser,1900,0.69,0.28,Cao
Đức,DE,làm đẹp,cerave moisturizing lotion,1900,0.74,0.24,Cao
Đức,DE,làm đẹp,ghd helios,1600,3.44,0.40,Cao
Đức,DE,làm đẹp,eucerin serum,1600,0.97,0.28,Cao
Đức,DE,làm đẹp,nivea serum,1600,1.51,0.34,Cao
Đức,DE,làm đẹp,laifen swift,1600,0.62,0.31,Cao
Đức,DE,làm đẹp,eye cream,1600,2.06,0.67,Cao
Đức,DE,làm đẹp,shark hair styler,1600,1.06,0.22,Cao
Đức,DE,làm đẹp,rhode skincare,1600,2.05,0.02,Cao
Đức,DE,làm đẹp,dyson haarföhn,1300,1.40,0.19,Cao
Đức,DE,làm đẹp,cetaphil moisturizer,1300,0.75,0.08,Cao
Đức,DE,làm đẹp,face wash,1300,3.50,0.81,Cao
Đức,DE,làm đẹp,cerave foaming facial cleanser,1300,0.95,0.32,Trung bình
Đức,DE,làm đẹp,avene serum,1000,0.95,0.25,Cao
Đức,DE,làm đẹp,eucerin anti age,1000,0.99,0.25,Cao
Đức,DE,làm đẹp,eucerin ph5 lotion,1000,0.74,0.19,Cao
Đức,DE,làm đẹp,nivea body milk,1000,1.08,0.18,Cao
Đức,DE,làm đẹp,isdin sunscreen,1000,0.76,0.15,Cao
Đức,DE,làm đẹp,cetaphil cleanser,1000,0.87,0.19,Cao
Đức,DE,làm đẹp,cetaphil gentle skin cleanser,1000,0.83,0.19,Trung bình
Đức,DE,làm đẹp,cerave moisturizer,1000,0.87,0.28,Cao
Đức,DE,làm đẹp,oil cleanser,1000,1.59,0.60,Cao
Đức,DE,mẹ và bé,kinderwagen,74000,1.17,0.51,Cao
Đức,DE,mẹ và bé,babyphone mit kamera,14800,1.10,0.19,Cao
Đức,DE,mẹ và bé,philips avent babyphone,12100,0.67,0.14,Cao
Đức,DE,mẹ và bé,cybex priam,12100,0.67,0.17,Cao
Đức,DE,mẹ và bé,cybex pram,12100,0.67,0.17,Cao
Đức,DE,mẹ và bé,owlet socke,9900,0.33,0.08,Cao
Đức,DE,mẹ và bé,bugaboo butterfly,9900,0.62,0.16,Cao
Đức,DE,mẹ và bé,cybex buggy,6600,0.64,0.12,Cao
Đức,DE,mẹ và bé,cybex gazelle s,4400,0.67,0.23,Cao
Đức,DE,mẹ và bé,cybex priam kinderwagen,3600,0.65,0.17,Cao
Đức,DE,mẹ và bé,philips babyphone,2900,0.70,0.17,Cao
Đức,DE,mẹ và bé,strollers,2900,1.33,0.40,Cao
Đức,DE,mẹ và bé,cybex beezy,2900,0.49,0.13,Cao
Đức,DE,mẹ và bé,owlet dream sock,2900,0.42,0.10,Cao
Đức,DE,mẹ và bé,kinderwagen bugaboo,2400,0.42,0.03,Cao
Đức,DE,mẹ và bé,ghb babyphone,2400,0.26,0.06,Cao
Đức,DE,mẹ và bé,bugaboo cameleon 3,2400,0.83,0.23,Cao
Đức,DE,mẹ và bé,baby monitor,1900,0.89,0.09,Cao
Đức,DE,mẹ và bé,avent babyphone,1900,0.53,0.11,Cao
Đức,DE,mẹ và bé,bugaboo buggy,1900,0.44,0.04,Cao
Đức,DE,mẹ và bé,römer fahrradsitz,1900,0.47,0.09,Cao
Đức,DE,mẹ và bé,eufy babyphone,1600,0.58,0.10,Cao
Đức,DE,mẹ và bé,quinny zapp,1600,0.99,0.35,Cao
Đức,DE,mẹ và bé,boifun babyphone,1600,0.50,0.09,Cao
Đức,DE,mẹ và bé,cybex eezy s twist,1600,0.48,0.17,Cao
Đức,DE,mẹ và bé,baby stroller,1300,1.14,0.22,Cao
Đức,DE,mẹ và bé,nuna buggy,1300,0.62,0.09,Cao
Đức,DE,mẹ và bé,regenschutz kinderwagen,1300,0.36,0.07,Cao
Đức,DE,mẹ và bé,kinderwagen joggen,1300,1.26,0.15,Cao
Đức,DE,mẹ và bé,babyzen yoyo,1300,0.86,0.42,Cao
Đức,DE,mẹ và bé,owlet sock,1300,0.37,0.07,Cao
Đức,DE,mẹ và bé,bugaboo cameleon,1300,0.73,0.24,Cao
Đức,DE,mẹ và bé,infant stroller,1300,1.14,0.22,Cao
Đức,DE,mẹ và bé,newborn stroller,1300,1.14,0.22,Cao
Đức,DE,mẹ và bé,angelcare babyphone,1000,0.40,0.09,Cao
Đức,DE,mẹ và bé,vtech babyphone,1000,0.34,0.06,Cao
Đức,DE,mẹ và bé,baby camera,1000,0.89,0.10,Cao
Đức,DE,mẹ và bé,cybex mios,1000,0.80,0.21,Cao
Đức,DE,nhà cửa,espresso maschine,33100,0.98,0.23,Cao
Đức,DE,nhà cửa,delonghi magnifica,33100,1.18,0.26,Cao
Đức,DE,nhà cửa,sage barista express,27100,0.80,0.23,Cao
Đức,DE,nhà cửa,delonghi dedica,22200,0.64,0.22,Cao
Đức,DE,nhà cửa,delonghi magnifica evo,18100,1.31,0.24,Cao
Đức,DE,nhà cửa,de longhi magnifica evo,18100,1.31,0.24,Cao
Đức,DE,nhà cửa,rocket appartamento,18100,1.33,0.35,Cao
Đức,DE,nhà cửa,delonghi la specialista,12100,1.20,0.25,Cao
Đức,DE,nhà cửa,sage barista pro,12100,1.18,0.32,Cao
Đức,DE,nhà cửa,la marzocco linea mini,9900,0.89,0.03,Cao
Đức,DE,nhà cửa,herman miller aeron,9900,2.21,0.53,Cao
Đức,DE,nhà cửa,rancilio silvia,9900,1.05,0.27,Cao
Đức,DE,nhà cửa,gaggia classic,9900,0.66,0.22,Cao
Đức,DE,nhà cửa,coffee machine,6600,1.93,0.52,Cao
Đức,DE,nhà cửa,espresso machine,6600,1.08,0.33,Cao
Đức,DE,nhà cửa,herman miller embody,6600,2.49,0.69,Cao
Đức,DE,nhà cửa,delonghi dinamica plus,5400,1.40,0.24,Cao
Đức,DE,nhà cửa,lelit bianca,5400,1.29,0.29,Cao
Đức,DE,nhà cửa,bezzera bz10,5400,1.09,0.26,Cao
Đức,DE,nhà cửa,delonghi la specialista arte,5400,1.88,0.30,Cao
Đức,DE,nhà cửa,de longhi primadonna,5400,1.87,0.28,Cao
Đức,DE,nhà cửa,nespresso vertuo,5400,2.04,0.28,Cao
Đức,DE,nhà cửa,delonghi espresso,5400,0.74,0.16,Cao
Đức,DE,nhà cửa,sage barista touch,5400,0.66,0.21,Cao
Đức,DE,nhà cửa,lelit bianca v3,4400,1.58,0.32,Cao
Đức,DE,nhà cửa,coffee b maschine,4400,0.99,0.10,Cao
Đức,DE,nhà cửa,nespresso machine,4400,0.88,0.12,Cao
Đức,DE,nhà cửa,steelcase gesture,4400,2.97,0.64,Cao
Đức,DE,nhà cửa,office chair,3600,2.38,0.66,Cao
Đức,DE,nhà cửa,nespresso delonghi,3600,1.81,0.15,Cao
Đức,DE,nhà cửa,ecm synchronika,3600,1.14,0.34,Cao
Đức,DE,nhà cửa,profitec pro 400,3600,1.25,0.43,Cao
Đức,DE,nhà cửa,gaggia classic pro,3600,0.81,0.26,Cao
Đức,DE,nhà cửa,bodum french press,3600,0.51,0.11,Cao
Đức,DE,nhà cửa,nespresso essenza mini,2900,0.56,0.17,Cao
Đức,DE,nhà cửa,delonghi specialista,2900,1.23,0.26,Cao
Đức,DE,nhà cửa,moccamaster kbg select,2900,1.11,0.25,Cao
Đức,DE,nhà cửa,cafissimo maschine,2900,0.98,0.14,Cao
Đức,DE,nhà cửa,delonghi coffee machine,2900,1.23,0.17,Cao
Đức,DE,nhà cửa,nespresso citiz,2900,1.04,0.17,Cao
Đức,DE,nhà cửa,percolator,2900,2.05,0.20,Thấp
Đức,DE,nhà cửa,delonghi eletta,2400,1.59,0.24,Cao
Đức,DE,nhà cửa,lavazza bohnen,2400,1.35,0.24,Cao
Đức,DE,nhà cửa,delonghi dedica ec685,2400,0.57,0.21,Cao
Đức,DE,nhà cửa,krups ea8100,2400,0.57,0.10,Cao
Đức,DE,nhà cửa,ergonomic chair,2400,2.43,0.94,Cao
Đức,DE,nhà cửa,coffee grinder,2400,0.95,0.08,Cao
Đức,DE,nhà cửa,steelcase leap v2,2400,3.42,0.89,Cao
Đức,DE,nhà cửa,coffee makers,2400,2.15,0.53,Cao
Đức,DE,nhà cửa,nespresso pixie,2400,1.16,0.22,Cao
Đức,DE,nhà cửa,nespresso lattissima,1900,0.80,0.18,Cao
Đức,DE,nhà cửa,jura ena 4,1900,0.99,0.17,Cao
Đức,DE,nhà cửa,nespresso lattissima one,1900,0.54,0.18,Cao
Đức,DE,nhà cửa,delonghi ecodecalk,1900,1.28,0.21,Cao
Đức,DE,nhà cửa,delonghi la specialista maestro,1900,1.76,0.35,Cao
Đức,DE,nhà cửa,delonghi ecam,1900,1.16,0.24,Cao
Đức,DE,nhà cửa,philips serie 5400,1900,0.82,0.37,Cao
Đức,DE,nhà cửa,breville barista express,1900,0.39,0.06,Cao
Đức,DE,nhà cửa,sage oracle touch,1900,0.98,0.22,Cao
Đức,DE,nhà cửa,rocket mozzafiato,1600,1.44,0.32,Cao
Đức,DE,nhà cửa,delonghi ec685,1600,0.49,0.21,Cao
Đức,DE,nhà cửa,delonghi specialista arte,1600,1.98,0.30,Cao
Đức,DE,nhà cửa,krups ea8108,1600,0.74,0.14,Cao
Đức,DE,nhà cửa,cappuccino maschine,1600,1.26,0.45,Cao
Đức,DE,nhà cửa,herman miller chair,1600,1.41,0.28,Cao
Đức,DE,nhà cửa,sage coffee machine,1600,0.60,0.08,Cao
Đức,DE,nhà cửa,nespresso inissia,1600,1.20,0.18,Cao
Đức,DE,nhà cửa,nespresso gran lattissima,1300,0.92,0.20,Cao
Đức,DE,nhà cửa,delonghi primadonna elite,1300,2.11,0.27,Cao
Đức,DE,nhà cửa,de longhi primadonna soul,1300,2.10,0.28,Cao
Đức,DE,nhà cửa,primadonna elite,1300,2.11,0.27,Cao
Đức,DE,nhà cửa,delonghi espresso machine,1300,1.06,0.18,Cao
Đức,DE,nhà cửa,philips coffee machine,1300,0.74,0.43,Cao
Đức,DE,nhà cửa,essenza mini,1000,0.81,0.22,Cao
Đức,DE,nhà cửa,nespresso vertuo pop,1000,1.01,0.20,Cao
Đức,DE,nhà cửa,nespresso krups,1000,1.67,0.13,Cao
Đức,DE,nhà cửa,rocket r58,1000,1.19,0.27,Cao
Đức,DE,nhà cửa,la specialista delonghi,1000,1.30,0.25,Cao
Đức,DE,nhà cửa,la marzocco linea,1000,1.99,0.19,Cao
Đức,DE,nhà cửa,la specialista arte,1000,3.10,0.35,Cao
Đức,DE,nhà cửa,espresso delonghi,1000,0.68,0.13,Cao
Đức,DE,nhà cửa,smeg coffee machine,1000,0.58,0.15,Cao
Đức,DE,thú cưng,royal canin gastro intestinal,8100,1.04,0.40,Cao
Đức,DE,thú cưng,royal canin hypo,8100,1.41,0.52,Cao
Đức,DE,thú cưng,royal canin gastrointestinal,8100,1.04,0.40,Cao
Đức,DE,thú cưng,royal canin hypoallergenic,8100,1.41,0.52,Cao
Đức,DE,thú cưng,royal canin anallergenic,3600,1.58,0.52,Cao
Đức,DE,thú cưng,royal canin gastro intestinal low fat,2400,1.15,0.47,Cao
Đức,DE,thú cưng,purina pro plan,2400,3.25,0.71,Cao
Đức,DE,thú cưng,royal canin urinary so,1900,1.37,0.56,Cao
Đức,DE,thú cưng,royal canin urinary,1900,1.18,0.52,Cao
Đức,DE,thú cưng,hills zd,1300,2.13,0.69,Cao
Đức,DE,thú cưng,puppy royal canin,1300,1.26,0.39,Cao
Đức,DE,thú cưng,royal canin gastro low fat,1000,1.24,0.44,Cao
Đức,DE,thú cưng,royal canin gastrointestinal low fat,1000,1.24,0.44,Cao
Đức,DE,thể thao,asics gel kayano 14,74000,0.46,0.14,Cao
Đức,DE,thể thao,asics gel 1130,33100,0.36,0.12,Cao
Đức,DE,thể thao,nike pegasus,22200,0.55,0.20,Cao
Đức,DE,thể thao,asics gel kayano,22200,0.87,0.20,Cao
Đức,DE,thể thao,nike reacts,14800,0.70,0.19,Cao
Đức,DE,thể thao,nike running,12100,0.73,0.26,Cao
Đức,DE,thể thao,yoga matten,12100,1.52,0.41,Cao
Đức,DE,thể thao,adidas ultra boost,12100,0.54,0.20,Cao
Đức,DE,thể thao,asics sneakers,12100,0.39,0.12,Cao
Đức,DE,thể thao,on sneaker,9900,1.43,0.33,Cao
Đức,DE,thể thao,on sneakers,9900,1.43,0.33,Cao
Đức,DE,thể thao,asics gel nimbus,9900,1.02,0.25,Cao
Đức,DE,thể thao,brooks glycerin,9900,1.15,0.43,Cao
Đức,DE,thể thao,asics kayano,9900,0.80,0.18,Cao
Đức,DE,thể thao,nike vapormax,8100,0.74,0.23,Cao
Đức,DE,thể thao,asics gt 2000,8100,0.87,0.23,Cao
Đức,DE,thể thao,running shoes,6600,1.04,0.35,Cao
Đức,DE,thể thao,nike air zoom,6600,0.70,0.24,Cao
Đức,DE,thể thao,hoka clifton 9,6600,0.66,0.41,Cao
Đức,DE,thể thao,new balance 1080,6600,0.61,0.16,Cao
Đức,DE,thể thao,brooks adrenaline gts,6600,1.24,0.42,Cao
Đức,DE,thể thao,salomon speedcross,5400,1.04,0.34,Cao
Đức,DE,thể thao,asics novablast,5400,0.62,0.18,Cao
Đức,DE,thể thao,adidas supernova,5400,0.60,0.22,Cao
Đức,DE,thể thao,hoka shoes,5400,0.66,0.26,Cao
Đức,DE,thể thao,nike running shoes,5400,0.63,0.17,Cao
Đức,DE,thể thao,ultraboost,5400,0.55,0.21,Cao
Đức,DE,thể thao,nike vaporfly,5400,0.90,0.35,Cao
Đức,DE,thể thao,asics gel cumulus,4400,0.98,0.25,Cao
Đức,DE,thể thao,on cloud shoes,4400,1.08,0.22,Cao
Đức,DE,thể thao,hoka bondi,4400,0.75,0.47,Cao
Đức,DE,thể thao,brooks adrenaline,4400,1.35,0.50,Cao
Đức,DE,thể thao,hoka clifton,4400,0.78,0.48,Cao
Đức,DE,thể thao,on cloudmonster,4400,0.93,0.33,Cao
Đức,DE,thể thao,salomon speedcross 6,3600,1.38,0.39,Cao
Đức,DE,thể thao,hoka bondi 8,3600,0.66,0.37,Cao
Đức,DE,thể thao,on cloud 5,3600,1.03,0.26,Cao
Đức,DE,thể thao,new balance 880,3600,0.69,0.16,Cao
Đức,DE,thể thao,new balance 860,3600,0.70,0.27,Cao
Đức,DE,thể thao,nike air zoom pegasus,2900,0.61,0.24,Cao
Đức,DE,thể thao,asics cumulus,2900,0.91,0.22,Cao
Đức,DE,thể thao,on cloudsurfer,2900,1.15,0.42,Cao
Đức,DE,thể thao,altra lone peak,2900,0.87,0.30,Cao
Đức,DE,thể thao,adidas running shoes,2900,0.58,0.21,Cao
Đức,DE,thể thao,hoka speedgoat,2900,0.84,0.52,Cao
Đức,DE,thể thao,mizuno wave rider,2900,0.78,0.27,Cao
Đức,DE,thể thao,yoga mat,2400,1.80,0.33,Cao
Đức,DE,thể thao,asics gt 1000,2400,0.73,0.19,Cao
Đức,DE,thể thao,salomon speedcross 6 gtx,2400,1.35,0.36,Cao
Đức,DE,thể thao,brooks hyperion,2400,0.95,0.37,Cao
Đức,DE,thể thao,sports shoes,2400,1.29,0.54,Cao
Đức,DE,thể thao,karhu sneakers,2400,0.59,0.21,Cao
Đức,DE,thể thao,nike revolution,2400,0.63,0.23,Cao
Đức,DE,thể thao,brooks cascadia,2400,1.04,0.40,Cao
Đức,DE,thể thao,nike trail,1900,0.81,0.29,Cao
Đức,DE,thể thao,asics metaspeed,1900,0.70,0.17,Cao
Đức,DE,thể thao,gt 2000,1900,1.04,0.24,Trung bình
Đức,DE,thể thao,on running shoes,1900,1.19,0.22,Cao
Đức,DE,thể thao,asics running shoes,1900,0.57,0.12,Cao
Đức,DE,thể thao,new balance running shoes,1900,0.56,0.14,Cao
Đức,DE,thể thao,cloudmonster,1900,0.94,0.31,Cao
Đức,DE,thể thao,nike pegasus trail,1900,0.65,0.29,Cao
Đức,DE,thể thao,nike revolution 6,1600,0.57,0.19,Cao
Đức,DE,thể thao,salomon speedcross 4,1600,0.61,0.20,Cao
Đức,DE,thể thao,salomon supercross 4,1600,0.61,0.20,Cao
Đức,DE,thể thao,trail running shoes,1600,0.90,0.30,Cao
Đức,DE,thể thao,saucony sneakers,1600,0.50,0.17,Cao
Đức,DE,thể thao,salomon sense ride 5,1300,0.60,0.24,Cao
Đức,DE,thể thao,salomon speedcross 3,1300,0.80,0.28,Cao
Đức,DE,thể thao,manduka yogamatte,1300,1.11,0.48,Cao
Đức,DE,thể thao,adidas adizero sl,1300,0.64,0.25,Cao
Đức,DE,thể thao,hoka sneakers,1300,0.66,0.32,Cao
Đức,DE,thể thao,saucony endorphin speed,1300,0.92,0.32,Cao
Đức,DE,thể thao,hoka arahi,1300,0.77,0.48,Cao
Đức,DE,thể thao,asics gel nimbus 25,1000,0.85,0.28,Cao
Đức,DE,thể thao,vaporfly,1000,0.88,0.33,Cao
Đức,DE,thể thao,on cloudvista,1000,0.86,0.37,Cao
Đức,DE,thể thao,cloudsurfer,1000,1.01,0.38,Cao
Đức,DE,thể thao,adizero sl,1000,0.46,0.22,Cao
Đức,DE,thể thao,novablast,1000,0.61,0.18,Cao
Đức,DE,thể thao,la sportiva bushido,1000,0.76,0.35,Cao
Đức,DE,thể thao,jade yogamatte,1000,0.94,0.22,Cao
Đức,DE,thể thao,nike roshe run,1000,0.71,0.14,Cao
Đức,DE,thể thao,hoka running shoes,1000,0.66,0.39,Cao
Đức,DE,thể thao,best running shoes,1000,1.08,0.33,Cao
Đức,DE,thể thao,hoka speedgoat 5,1000,0.67,0.40,Cao
Đức,DE,thể thao,on cloud sneakers,1000,1.03,0.31,Cao
Đức,DE,thể thao,on cloudnova,1000,1.10,0.33,Cao
Đức,DE,thể thao,nike air vapormax,1000,0.81,0.23,Cao
Đức,DE,thể thao,altra escalante,1000,0.91,0.32,Cao
Đức,DE,thể thao,on running sale,1000,1.74,0.29,Cao
Đức,DE,thể thao,saucony tempus,1000,0.68,0.27,Cao
Đức,DE,thời trang,nike schuhe,201000,0.67,0.19,Cao
Đức,DE,thời trang,adidas sambas,201000,0.44,0.17,Cao
Đức,DE,thời trang,new balance 530,165000,0.48,0.18,Cao
Đức,DE,thời trang,sneakers,135000,1.13,0.26,Cao
Đức,DE,thời trang,on schuhe,110000,2.14,0.47,Cao
Đức,DE,thời trang,adidas campus,110000,0.48,0.18,Cao
Đức,DE,thời trang,nike air force 1,110000,0.76,0.27,Cao
Đức,DE,thời trang,rucksack,90500,1.46,0.43,Cao
Đức,DE,thời trang,sneaker damen,74000,0.73,0.16,Cao
Đức,DE,thời trang,air force 1,74000,0.67,0.28,Cao
Đức,DE,thời trang,nike rucksack,60500,0.32,0.07,Cao
Đức,DE,thời trang,on schuhe damen,49500,1.29,0.33,Cao
Đức,DE,thời trang,new balance damen,49500,0.38,0.12,Cao
Đức,DE,thời trang,adidas samba damen,49500,0.47,0.17,Cao
Đức,DE,thời trang,new balance 574,49500,0.51,0.19,Cao
Đức,DE,thời trang,adidas superstar,49500,0.46,0.16,Cao
