mảng,tên dự án,domain dự án,lượt tìm kiếm/tháng,chi phí đầu trang (USD),chi phí thấp nhất (USD),cạnh tranh,affiliate,trang affiliate,mạng affiliate,ghi chú,lý do loại
kitchen_gadgets,made in cookware,madeincookware.com,90500,1.50,0.49,Cao,không thấy,,,,không tìm thấy chương trình affiliate
kitchen_gadgets,farberware,farberware.com,27100,0.64,0.13,Cao,không thấy,,,,không tìm thấy chương trình affiliate
kitchen_gadgets,great jones,greatjonesgoods.com,8100,0.50,0.50,Trung bình,có,https://greatjonesgoods.com/pages/affiliate,"Impact, ShareASale",,đăng ký qua Impact
luggage_travel,samsonite,samsonite.com,1000000,1.77,0.13,Cao,không thấy,,,,không tìm thấy chương trình affiliate
luggage_travel,tumi,tumi.com,550000,2.28,0.24,Cao,không thấy,,,,không tìm thấy chương trình affiliate
luggage_travel,july luggage,july.com,49500,2.78,0.13,Cao,có,https://july.com/us/affiliate-program/,Impact,,đăng ký qua Impact
pets,the farmers dog,thefarmersdog.com,301000,11.18,1.39,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
pets,kong company,kongcompany.com,301000,1.92,0.15,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
pets,litter robot,litter-robot.com,201000,2.65,0.57,Cao,có,https://www.whisker.com/partnerships,Impact,,đăng ký qua Impact
pets,tractive,tractive.com,165000,1.12,0.23,Cao,có,https://tractive.com/landing/affiliate/,Impact,,đăng ký qua Impact
pets,embark vet,embarkvet.com,110000,2.34,0.72,Cao,có,https://embarkvet.com/about/affiliates/,Impact,,đăng ký qua Impact
pets,ollie dog food,myollie.com,60500,14.37,3.60,Cao,có,https://www.ollie.com/affiliate/,Impact,,đăng ký qua Impact
pets,wisdom panel,wisdompanel.com,60500,1.50,0.40,Cao,có,https://www.wisdompanel.com/en-us/affiliates-program,Impact,,đăng ký qua Impact
pets,furbo,furbo.com,49500,4.34,0.54,Cao,không thấy,,,,không tìm thấy chương trình affiliate
pets,pawp,pawp.com,9900,9.48,2.45,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
saas_crm,salesforce,salesforce.com,2240000,10.75,1.22,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
saas_crm,hubspot,hubspot.com,1220000,34.92,3.00,Trung bình,có,https://www.hubspot.com/partners/affiliates,Impact,,đăng ký qua Impact
saas_crm,mailchimp,mailchimp.com,1220000,26.89,1.51,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
saas_design,shopify,shopify.com,5000000,15.41,1.11,Trung bình,có,https://www.shopify.com/affiliates,"Impact, Shopify",,đăng ký qua Impact
saas_design,wix,wix.com,3350000,5.91,0.52,Trung bình,có,https://www.wix.com/about/affiliates,Impact,,đăng ký qua Impact
saas_design,squarespace,squarespace.com,1500000,11.77,1.02,Trung bình,có,https://www.squarespace.com/affiliates,Impact,,đăng ký qua Impact
saas_design,framer,framer.com,550000,5.55,0.39,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
saas_design,weebly,weebly.com,246000,7.11,0.68,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
smart_home,govee,govee.com,6120000,2.00,0.18,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
smart_home,ring,ring.com,1830000,4.19,0.28,Cao,không thấy,,,,không tìm thấy chương trình affiliate
smart_home,eufy,eufy.com,450000,1.80,0.21,Cao,có,https://www.eufy.com/affiliate?ref=navMenu,Impact,,đăng ký qua Impact
smart_home,irobot,irobot.com,301000,45.00,0.34,Cao,không thấy,,,,không tìm thấy chương trình affiliate
smart_home,arlo,arlo.com,246000,6.00,0.80,Cao,không thấy,,,,không tìm thấy chương trình affiliate
smart_home,simplisafe,simplisafe.com,201000,24.51,1.73,Cao,không thấy,,,,không tìm thấy chương trình affiliate
smart_home,vivint,vivint.com,201000,55.00,1.84,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
smart_home,nest thermostat,store.google.com,165000,2.45,0.34,Cao,không thấy,,,,không tìm thấy chương trình affiliate
smart_home,aqara,aqara.com,110000,1.33,0.09,Cao,không thấy,,,,không tìm thấy chương trình affiliate
smart_home,ecobee,ecobee.com,74000,1.30,0.14,Cao,không thấy,,,,không tìm thấy chương trình affiliate
toys_gaming,corsair,corsair.com,1000000,0.80,0.03,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
toys_gaming,tonies,tonies.com,673000,0.34,0.03,Cao,không thấy,,,,không tìm thấy chương trình affiliate
toys_gaming,elgato,elgato.com,368000,0.62,0.10,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
toys_gaming,connetix,connetixtiles.com,90500,0.84,0.19,Cao,không thấy,,,,không tìm thấy chương trình affiliate
vpn,expressvpn,expressvpn.com,673000,5.21,0.69,Thấp,có,https://www.expressvpn.com/affiliates,Impact,,đăng ký qua Impact
vpn,windscribe,windscribe.com,368000,2.39,0.21,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
